id,essay,C1,C2,C3,O1,O2,E1,E2,V1,R1,Creativity_score
1,"도서, 음악, 잡지와 같은 도서관에서 제거되고 있는 특정 자료들은 도서관에서 제거되어서는 안 된다. 그것은 사람들에게 현실 세계 @CAPS2를 이해시키는데 도움을 준다. 대부분 책과 음악은 대부분 사람들에게 @CAPS2 책에서 진술이 얼마나 나쁜지 또는 노래에서 가사가 얼마나 나쁜지를 보여줄 수 있고, 그 사람이 그 책이나 노래 @CAPS2가 독자나 청취자에게 말하는 그런 종류의 것을 피하도록 도울 수 있기 때문에, 책이나 음악과 같은 특정한 자료를 갖는 것은 확실히 제거되어서는 안 된다. 사람들은 적어도 모든 종류의 음악을 들어봐야 하고, 사람들이 그런 종류의 음악에 대해 말하는 것에 대해 의심해서는 안 된다. 저는 항상 사람들이 @PERON1 AM@CAPS2라는 밴드가 얼마나 나쁜지 말하는 것을 듣는다. 단지 가사에 마약에 관한 이야기이고 각 노래에 얼마나 많은 욕이 있는지 이야기하기 때문이다. 실제로 밴드 @CAPS2는 한 남자의 삶과 그가 어떻게 그의 삶을 마약 중독자에서 누군가가 살 수 있는 최고의 삶을 사는 것으로 바꾸는지에 대해 이야기한다. 사람들은 항상 그를 의심했고 그의 음악에 절대 기회를 주지 않았다. 또 다른 예는 'Person1'의 책 '@CAPS1 @CAPS2 @CAPS3 @CAPS4'가 될 것이다. 이 책은 마약 중독자, 노숙자, 팔이 손상되거나 다리를 잃은 사람들에 관해 이야기하며, 그들 각각이 정말 얼마나 아름다운지 이야기한다. 그의 책은 나에게 몇 가지를 가르쳐 주었고 사람들에 대해 다르게 생각하게 하였습니다. 그들이 어떻게 생겼든, 어떻게 말하든, 어떤 사람이든, 그 사람 @CAPS2는 아름답습니다. 지난 몇 년 동안 영화와 잡지가 출판된 것에 관한 한, 나는 또한 도서관에서 가져가지 말아야 한다고 생각한다. @CAPS1은 내가 책과 음악에 대해 느끼는 것과 같은 이유이다. 물론 우리는 영화 시사회를 보고 @MONTH1이 좋지 않다고 생각하지만, 도서관은 계속해서 영화 시사회를 빼놓아서는 안 된다. 영화 @CAPS2는 여러분이 어떻게 행동해야 할지 모를 때 다른 사람들을 대하는 방법과 다른 사람들 주변에서 행동하는 방법을 배울 수 있는 좋은 방법입니다. 영화는 우리가 나이가 들면서 그런 종류의 것들을 하는 방법을 봄으로써 사람들이 현실 세계에 대해 배우는 것을 도울 수 있다. 잡지도 마찬가지인데, 잡지들은 또한 사람들이 하지 말아야 할 것을 보거나 해서는 안 되는 일의 결과를 이해하도록 돕습니다. 잡지에서 무엇을 해야 하는지 아는 것은 여러분의 생명을 구할 수도 있고, 어쩌면 다른 누군가가 목숨을 구할 수도 있습니다. 나는 왜 몇몇 도서관들이 사람들이 다른 사람의 삶에서 일어나는 일들을 이해하도록 돕고 그들이 그 사람이 예전에 했던 것과 같은 실수를 하지 않도록 돕기 위해 특정 자료들을 금지하기를 원하는지 이해할 수 없다.",3,4,4,3,2,4,3,3,3,3.22
2,"도서관에서 검열하는 것에 대한 당신의 견해를 반영하는 설득력 있는 에세이를 신문에 쓰세요. 당신은 어떤 것이 제거되어야 한다고 믿습니까? 나는 그렇게 생각하지 않습니다. 나는 책, 음악, 영화, 잡지 등을 가지고 있는 사람이 없어야 한다고 생각합니다. 만약 당신이 그것이 필요하다고 생각한다면 왜 나는 아니라고 생각합니다. 만약 내가 이 시험에 떨어지면 나는 졸업해야 하는 아이들을 기쁘게 할 필요가 있습니다. 집에 가도록 허락해 주세요. 왜 우리가 교활한 사람이 되어야 합니까? 왜 우리가 이런 일을 해야 합니까? 왜냐하면 당신은 최고의 가르침이 되고자 하는 의미이고 페이스북은 나의 비밀번호가 @PERSON1 @NUM1이기 때문입니다. 나는 정말로 나의 이메일 주소가 필요하다는 것을 알아야 합니다. @EMAIL1은 제 이메일입니다.",2,1,2,2,1,2,1,2,1,1.56
3,"당신은 도서관이 책꽂이에서 특정 자료들을 제거해야 한다고 생각하나요? 사람들은 무엇이 좋고 무엇이 나쁜지에 대해 서로 다른 반대 의견을 가지고 있다. 나는 살면서 많은 책을 읽고 보았다. 나는 사람들이 나에게 '오, 그 책을 읽지 마세요. 그것은 나쁜 책입니다.'라고 말하는 것을 듣는다.하지만 저는 스스로에게 묻습니다. @CAPS2는 기회를 주지도 않았는데 그것이 나쁜 책이라는 것을 알고 있나요?' @CAPS1은 불쾌한 책, 음악, 영화, 잡지입니다. 하지만 우리는 여전히 읽고, 듣고, 보고, 싶어한다. 만약 우리가 모든 불쾌한 책들을 제거하려고 노력한다면, 도서관에서 우리는 책꽂이에 아무것도 남기지 않을 것이다. 캐서린 패터슨은 '만약 내가 싫어하는 책을 책꽂이에서 꺼낼 권리가 있다면, 당신도 똑같은 권리를 가지고 있고 다른 사람들도 마찬가지이다. 그리고 우리 모두를 위한 책들이 선반 위에 남아있지 않습니다.' 캐서린 패터슨은 그녀의 인용구를 아주 잘 지적합니다. 일부 사람들이 그것이 불쾌하다고 생각한다면 왜 우리는 책을 없애야 하는가? 자신에게 '@CAPS2 기회를 주지도 않았는데 그것이 나쁜 책이라는 것을 알고 있는가?' @CAPS3는 당신이 들은 것으로 책을 판단하지 않는다. 자신의 반대가 무엇인지 알아보세요.",2,2,3,2,3,3,2,3,2,2.44
4,"세계에는 불쾌감을 주는 것들이 많이 있다. 모든 사람은 무엇이 불쾌하고 무엇이 불쾌하지 않은지에 대해 자신만의 의견을 가지고 있다. 많은 부모는 그들의 아이들이 그들이 보지 말아야 할 것들을 보고 있다고 생각하기 때문에 화가 나고 있다. 다른 사람들은 도서관이 그들의 문화나 삶의 방식을 불쾌하게 한다고 생각하기 때문에 화가 나 있다. 이것은 심지어 사람들이 이것을 피하려고 도서관에 대한 검열을 원하는 극단으로 치닫는데, 이것은 잘못된 것이다. 몇몇 사람들은 도서관의 자료들에 대해 걱정하게 되었다. 그들은 이런 것들이 불쾌하다고 생각한다. 모든 사람은 자신의 의견을 가질 권리가 있지만, 만약 누군가가 불쾌하다면, 아무도 할 수 있는 것이 없다. 세상은 공공장소이고 우리가 가는 곳마다 뭔가 불쾌하게 느껴질 수 있다. 도서관은 공부를 위한 장소이다. 그것은 결코 누군가의 기분을 상하게 하거나 세상에 나쁜 결과를 가져오도록 의도된 것이 아니다. 그것은 단순히 정보를 제공하는 장소이며, 만약 누군가가 그들이 보는 것에 불쾌감을 느낀다면, 그들은 도서관에서 멀리 떨어져 있어야 한다. 나는 도서관에 여러 번 가봤지만, 그 중 어떤 불쾌한 것도 본 적이 없다. 내가 도서관에서 목격한 모든 것은 배움과 연구를 위한 것이다. 도서관에는 특정한 섹션이 있다. 만약 부모가 그들의 아이가 무언가를 보는 것을 원하지 않는다면, 그들은 그들의 아이를 어린이 코너에 두어야 한다. 장담하는데, 어린이 코너에 기분 나쁜 건 없어요. 그렇지 않으면 도서관에는 그런 코너가 없을 거예요. 이 도서관들의 소유주들은 무엇이 사람들을 화나게 하고 무엇이 그렇게 하지 않을 것인지를 알고 있다. 만약 도서관에 정말로 불쾌한 자료가 있다면, 그 자료들은 반출될 것이다. 또한, 만약 어떤 사람이 불평하고, 재료가 제거된다면, 다른 사람이 그들이 필요로 하는 재료를 얻을 기회를 줄일 수 있다. 한 사람은 그 자료가 불쾌하다고 생각할 수 있지만, 다른 사람은 그것에 대해 더 배우고 싶어할 수도 있다. 만약 어떤 소재에 의해 기분이 상했다면, 그들이 해야 할 일은 그것을 보지 않는 것이다. 도서관은 큰 컴퓨터와 비교될 수 있다. 기본적으로 어떤 것이든 그곳에서 찾을 수 있다. 도서관에 그들의 자료를 검열해달라고 요청하는 것은 인터넷에 그들의 자료를 검열하라고 요청하는 것과 같다. 그것은 배우고 연구하는 방법이고 그곳의 모든 것을 검열하는 것은 거의 불가능할 것이다. 누구나 언젠가는 기분이 상할 것이다. 만약 도서관이 누군가를 불쾌하게 할 수 있는 모든 것을 제거한다면, 그들은 어떤 자료도 남기지 않을 것이다. 사람들은 쉽게 불쾌해지는 것을 멈추고 도서관이 누군가를 해치려 하지 않는다는 것을 깨달아야 한다. 도서관에는 어떤 검열도 있을 필요가 없다. 그것은 단순히 사람들에게 세상에 대해 가르치고 그들이 책, 음악, 영화, 또는 도서관에 가서 찾을 수 있는 다른 모든 것을 즐기게 하려고 하는 것이다.",2,4,4,2,3,3,3,2,3,2.89
5,"인생에서 당신은 불쾌한 것들을 가지고 있다. 우리의 피부밑에 들어가서 우리를 갉아먹는 작은 것들. 아니, 극복하기는 쉽지 않지만, 이것들이 너를 더 강하게 만들 거야. 때때로 우리를 화나게 한 책, 잡지, 음악, 영화들이 있다. 우리가 불쾌감을 느끼는 유일한 이유는 그 주제가 우리의 성격이나 삶을 반영하기 때문이다. 그것은 작가들의 잘못이 아니라, 그들은 그들이 느끼는 것과 진실이 무엇인지 쓴다. 좋아요, 그럼 천칭자리에는 책, 영화, 음악 등이 가득하겠네요. 책꽂이에서 책을 꺼내면 안 돼요. 단지 책들이 당신을 불쾌하게 만든다고 해서요. 다른 사람들은 @MONTH1 당신이 싫어하는 책을 좋아합니다. 사람들이 도서관 밖으로 불쾌한 자료를 없애서는 안 되는 또 다른 이유는 누가 그 책을 출판했든 간에 그것은 또한 작가들에게도 해를 끼칠 것이다. 도서관이 책, 잡지, 영화를 팔기 때문에 작가와 출판사는 많은 돈을 잃을 것이다. 그들은 수천 개의 제품을 복제하는데, 이것은 돈이 든다. 그래서 그들의 돈을 다시 벌기 위해, 그들은 수천 개의 서점에 판다. 그 공격적인 소재는 세계의 눈을 뜨게 할 것이다. 모든 사람은 세상에서 무슨 일이 일어나고 있는지 볼 필요가 있다. 책, 신문은 어떤 주제에 대한 진실을 말해준다. 이제 작가들의 의도는 당신을 해치려는 것이 아니라 당신을 도우려는 것이다. 왜 세상은 더 개방적일 수 없을까? 나는 내 인생에서 처음에 그 책이 나를 불쾌하게 했던 책을 읽었다는 것을 안다. 나는 너무 화가 나서 책을 내려놓고 가버리곤 했다. 하지만 그때, 제 눈이 떠지고 마침내 저를 일깨웠다. 그 책에서 모욕적인 부분은 내가 새로운 이해를 할 수 있도록 도와주었다. 내가 가졌던 견해는 사라졌을 것이다. 당신이 마침내 마음을 열고, 당신의 삶이 바뀌는 것은 이상하다. 어떤 사람들은 심지어 이 신문이 불쾌하다고 생각할 수도 있다. 하지만 아무도 당신의 발가락을 밟지 않고 당신의 피부 속으로 들어간다면 당신은 절대 변하지 않을 것이다. 불쾌감을 주는 단어는 가볍게 사용되는 단어입니다. 그렇다, 사람들은 그것을 많이 사용하지만, 그들은 진심이 있는가? 어떤 사람들은 '글쎄 이 책이 나를 괴롭힌다'를 사용할 필요가 있다. 쓸데없는 소리 그만하고 잊어버려라. 걱정과 불쾌감을 느끼기에는 인생은 짧다. 모든 책, 잡지, 영화, 음악은 내버려 둘 필요가 있다. 그 자료들 @MONTH1은 다른 사람들의 삶을 반영하고 다른 사람들의 삶을 돕습니다. 그냥 다른 책을 읽거나 다른 영화를 보세요. 더 심한 손상을 입힐 뿐이니 자신에게서 아무것도 제거하지 마십시오.",3,3,3,3,2,3,4,3,3,3
6,"오늘날 많은 @CAPS3는 책, 음악, 영화, 잡지의 내용 때문에 검열된다. 나는 당신이 특정 섹션 @CAPS1 @CAPS2와 @CAPS3 검열에 대한 나의 견해를 가지고 있다면 이 모든 것이 수정될 수 있다고 생각한다. 문제를 해결하기 위한 제 생각은 이렇습니다. 책과 기타 자료 @MONTHE1이 어떤 사람들에게 불쾌감을 주는 것은 이해하지만, 다른 사람들에게 불쾌감을 주지는 않을 것입니다. 그래서 나는 @CAPS3가 어떤 사람들에게 불쾌감을 줄 수 있는 것들을 위한 공간을 가져야 한다고 생각한다. 표지판에는 어떤 내용이 담겼는지 표시되어야 사람들이 방에서 멀리할 수 있다. 아이들을 위한 방이 따로 있을 수 있다. 거기에는 어린이 책, 영화, 음악, 그리고 잡지밖에 없습니다. 당신의 아이가 나쁜 내용에 마음을 열지 않을 것이기 때문에 그것은 좋은 생각이다. 이것으로 다음 주제로 넘어갑니다. '불량 콘텐츠' 룸에 들어가려면 확실한 @CAPS1이어야 합니다. 저는 도서관 직원이나 그들의 부모가 섹스, 마약, 그리고 알코올에 관한 책을 대출하는 것을 원하지 않는다고 생각합니다. 도서관은 많은 문제를 일으킬 수 있다. 당신은 그 내용을 다룰 수 있을 만큼 충분히 나이가 들었다. 나는 쉽게 기분이 상하지 않아서 어떤 것이든 읽을 수 있다. 제가 기사에서 이전에 제안했듯이, 나쁜 내용은 사람들이 실수로 발견하지 않도록 방으로 옮겨야 합니다. 저는 모든 것에 대해 읽는 것을 좋아하기 때문에 무언가를 읽고 제 관심을 불러일으키는 것을 좋아합니다. 그런 책들은 대개 나쁜 것들을 다룬다. 저는 괜찮지만, 다른 사람들은 그렇지 않다는 것을 이해합니다. 별도의 방, @CAPS1 제한, 제 견해는 모두 좋은 생각입니다. 아마도 도서관이 내 글을 우연히 발견하고 내가 말한 것을 할 것이다. 나는 그것이 매우 감정적일 것으로 생각한다. 나는 미래에 그것을 보기 시작하길 바란다.",2,2,2,3,1,2,3,1,1,1.89
7,"당신이 가장 좋아하는 책이 학교나 공공도서관의 책꽂이에서 치워졌다면 @CAPS4는 어떤 느낌입니까? 많은 다른 학생들과 함께, @CAPS4는 이것을 낙담시키고 끔찍하게 여기기 때문에, 나는 검열 제도가 책꽂이에 꽂혀 있는 책들에 영향을 미쳐서는 안 된다고 생각한다. 그렇지 않으면 파괴된 독서의 사랑, 짓눌린 개성, 분리된 인구 @MONTH1이 탄생한다. @PERON1의 사랑받는 @PERON2 @PERON2 시리즈처럼, 많은 책과 시리즈들은 사회의 사람들이 그들을 불쾌하게 여기기 때문에 도서관 소장품에서 제외되고 있다. 이 경우에, 이 이야기가 꽃을 피우는 마법의 세계는 일부 종교적 믿음에 어긋난다. 따라서, 종교 내의 일부 개인들은 이 책들을 금지하기 위한 캠페인을 벌인다. 다행히도, 내가 방문하는 도서관 중 그들의 수집품들과 함께 이 시리즈를 금지한 곳은 없었고, 혹은 @CAPS4는 지금처럼 문학에 대한 강한 갈증을 가지고 있지 않았다. 모든 책은 @Person2가 나를 위해 했던 것처럼, 학생들을 멋진 독서 세계로 끌어당길 수 있는 잠재력을 가지고 있다. 그래서 흥미를 유발하거나 창의성의 불꽃을 일으킬 가능성이 가장 높은 책들을 빼앗는 것은 이 세대뿐만 아니라 모든 사람의 미래에 영향을 미친다. 만약 이 검열이 허용된다면, 무엇이 검열될 수 있는지 누가 말할 수 있겠는가? 어떤 책 @CAPS4가 금지되는지에 대한 최종 판단자는 누구인가? 그것은 @CAPS4 모두가 권력을 잡게 되고 누가 그것을 기꺼이 차지했는가 하는 것이다. 정상을 차지하기 위한 이러한 투쟁은 정당처럼 사람들을 갈라놓을 가능성을 가지고 있다. 의견 불일치는 토론으로 바뀔 수 있고, 그것들은 싸움으로 바뀔 수 있다. 사람들은 자신의 신념에 대해 고집을 부리고, 누군가가 @CAPS4가 틀렸다고 모두가 믿도록 허용된 것을 선택하게 한다는 결론을 내릴 수 있다. 예를 들어, @CAPS4는 @CAPS2에게 @CAPS3를 믿지 말라고 강요하는 @CAPS1과 같다. 검열 @CAPS4는 다른 사람의 의견을 무시하게 하고, 무례는 결코 유익한 것이 아니다. 모든 사람은 무엇이 불쾌하고 그렇지 않은지에 대해 다른 의견을 가지고 있기 때문에, @CAPS4 책을 검열하는 것은 모든 개인의 사고방식을 검열하는 것이다. 각자의 독특한 생각과 신념이 없다면, @CAPS4 세계는 비슷하게 무미건조해진다. 믿음의 차이는 인구에 다양성을 더하고 사람을 특별하게 만드는 것이다. 게다가, 자유로운 생각은 모든 사람이 가져야 할 권리이다. 만약 누군가가 세상에 존재하는 정신적인, 문학적인 자극제를 제한한다면, 창의력과 개성의 양은 줄어든다. 결론적으로, 검열 @CAPS4는 개성과 개인적 신념, 그리고 좋은 책을 읽는 전반적인 즐거움에 대한 무시이다. 어떤 사람이 어떤 이야기가 말하는 것을 믿지 않을 수도 있다고 해서, 그것이 그 문학 작품이 금지되어야 한다는 것을 의미하지는 않는다. 도서관의 수백 개의 책꽂이를 장식하는 책을 읽도록 강요받는 사람은 아무도 없으므로, 만약 누군가가 기분이 상했다면, 그냥 읽지 마세요. 그렇다면 만약 여러분이 가장 좋아하는 책이 모든 도서관에서 사라진다면 @CAPS4 여러분은 어떻게 느낄까요?",3,2,3,3,2,3,3,3,3,2.78
8,"당신은 누군가가 그것을 불쾌하게 생각해서 도서관 선반에서 특정한 자료들을 꺼낼 수 있어야 한다고 생각하나요? 여기 제가 즉시 생각해 낼 수 있는 몇 가지 예들이 있습니다. 책, 영화, 음악, 잡지, 또는 심지어 컴퓨터 과잉. 그러니 괜찮으시다면 편안한 곳에서 편히 쉬세요. 자, 시작하죠. 그래서 여러분은 지역 도서관이나 심지어 학교 도서관에서 그것들을 떼어내는 것에 대해 어떻게 생각하는지 결정해 보셨나요? 어떤 면에서는 그렇다, 하지만 어떤 면에서는 아니다. 예를 들어, 내 학교 도서관에는 오래되고 지나치게 구식이라는 이유만으로 오랫동안 주워지지 않은 오래된 책들이 분명히 있을 거야. 내가 도서관의 선반에서 떼어내서는 안 된다고 말하는 이유. 음, 어떤 사람들이 그것이 불쾌하다고 생각한다고 해서, 그것이 구멍 도서관에서 거의 가장 인기 있는 책이 아니라는 것을 의미하지는 않습니다. 그 책을 좋아하는 사람은 그 책이 불쾌하다고 생각하는 사람들이 다른 사람에게 불쾌감을 줄 수 있다는 것을 알게 될 것입니다. 그래서 여러분이 그것에 대해 생각한다면, 여러분은 항상 여러분이 어디를 가든 무언가에 대해 불평하기를 좋아하는 사람들을 가질 것입니다. 나는 단지 내가 본 것 중 하나의 예를 들 뿐이다. 한번은 도서관에 갔었는데 거기서 남자들한테 줬어요. 한 명은 어떻게 하면 농장이 엉망이 되지 않느냐고 불평하고 있었다. 그때 다른 남자가 도서관 농장 구역에 있는 책 두 권을 들고 다가왔습니다. 그래서 도서관 사서는 그 시간 동안 두 사람이 논쟁하고 있던 모든 정보를 받아들였습니다. 이 모든 시간 동안 저는 이 사람들이 있는 카운터에서 겨우 5피트 정도 떨어져 있었습니다. 그래서 농장 책을 어떻게 선반에서 꺼낼지에 대해 이야기하던 사람이 사서에게 우주선에 책이 어디에 있는지 물어봤습니다. 그러자 농장 책을 가져오던 사람이 책꽂이에서 책을 꺼내야 한다고 했어요. 몇 년 동안 그런 식으로 사람을 본 적이 없거든요. 즉, 여러분이 책, 음악, 또는 도서관에서 찾을 수 있는 생각들을 하고 간다면, 더 많은 가능성을 가지고 있어야 한다는 것입니다. 왜냐하면 도서관은 책이나 다른 것들을 어떤 이유로든 그들에게 주었기 때문입니다. 그 이유는, 여러분은 어떤 사람이 단지 그 외로운 책, 잡지, 영화를 찾기 위해 저 문을 통해 들어올지 혹은 단지 컴퓨터를 하기 위해 무엇을 할지 모르기 때문입니다. 책이나 다른 어떤 것도 책꽂이에서 꺼내서는 안 된다고 생각하는 이유를 들으면 지칠 수도 있다는 것을 알고 있습니다. 이제 여러분이 사는 동네에 있는 그 지역 도서관 선반에서 왜 그것들을 꺼내야 하는지 여러분에게 말해줄 시간입니다. 지역 도서관이나 학교 도서관의 선반에서 무언가를 떼어내야 하는 주된 이유는 책이 정말로 손상되었는가 하는 것이다. 예를 들어, 저는 제 카운티에 있는 도서관 중 한 곳에 갔었는데 그 도서관에는 책의 뒤표지가 완전히 뜯겨 있는 책이 있었습니다. 도서관이 폐허가 된 곳처럼 보이기 때문에 책꽂이에 책을 꽂아 놓는다는 것은 나쁜 일이다. 책꽂이에서 무엇인가가 벗겨져야 하는 또 다른 이유는 그 책이 마약을 지원했는가 하는 것이다. 마치 마약을 하는 사람들에 관한 책이 있는 것처럼요. 그리고 그들은 그들과 함께 잡혔고, 그들은 제가 말하는 '손목을 찰싹 때렸다'는 거죠. 당신이 어떤 일로 곤경에 처했을 때 심지어 어떤 어려움도 겪지 않았을 때 당신은 그냥 부모님께 넘겨집니다. 그것이 내가 생각하는 '그냥 찰싹 때리기'라는 속담의 의미이다. 따라서 전반적으로 이 책은 책꽂이에 꽂혀 있어야 할 것 같다. 제가 이 에세이에서 앞서 말했듯이, 여러분은 항상 불평하기 위해 찾을 수 있는 모든 사소한 것에 대해 불평하기를 좋아하는 사람들을 가질 것입니다. 주로 주 트랙터 당기기 클럽에서 배웠죠 그래서 제가 당신의 시간을 많이 빼앗지 않았기를 바랍니다. 그래서 다음번에 당신이 도서관에 있을 때 당신이 책을 보고 당신이 그 책을 책꽂이에서 꺼낼 필요가 있다고 생각한다면, 이 에세이를 다시 참고하세요.",4,4,3,3,3,3,3,3,3,3.22
9,"도서관에서 '불미스러운' 자료를 제거하는 아이디어는 이해할 수 있다. 어떤 이들은 이 자료가 누구도 보기에 적절하지 않다고 믿는다. 하지만, 우리는 모두 무엇이 모욕적인지에 대해 다른 의견을 가지고 있기 때문에, 나는 불쾌하다고 생각되는 책들이 도서관 책꽂이에서 치워져서는 안 된다고 믿는다. 첫째, 만약 이 정책이 도서관에서 시행된다면, 책꽂이에 책이 많이 남아있지 않을 것으로 생각합니다. 모욕은 상대적인 단어이다. 한 사람에게 불쾌감을 주는 @MONTEN1은 다른 사람에게 불쾌감을 주지 않는다. 모든 사람은 그들의 믿음과 삶의 경험에 근거하여 다른 문제들에 대해 다른 의견을 가지고 있습니다. 많은 책은 사람들이 동의하지 않는 것들을 가지고 있지만, 이것을 표현하는 것은 언론의 자유의 한 부분이다. 그러므로 만약 모든 사람이 어떤 책이나 영화가 불쾌하다고 불평한다면, 캐서린 패터슨이 말한 것처럼, 거의 아무것도 남지 않을 것이다. 도서관의 목적은 도서관에 가는 사람들에게 자원을 제공하는 것이다. 만약 자료들이 그런 식으로 검열된다면, 정보를 얻기가 어려울 것이다. 때때로, 어떤 주제에 대해 더 많은 지식을 가지고 다른 관점에서 사물을 보는 것은 심지어 반대되는 관점이나 측면을 읽는 것이 유익하다. 그러나 MONTH1의 일부 책들은 특정 사람들에게 완전히 적절하지 않다. 예를 들어, @MONTHE1 라이브러리의 일부 자료는 어린아이들이 읽거나 보기에는 최선이 아닙니다. 이런 경우, 저는 아이들이 접근할 수 없는 곳에 두기보다는 선반에서 그것들을 제거해야 한다고 생각하지 않습니다. 책, 음악, 영화 또는 잡지가 불쾌하다고 생각될 때 책꽂이에서 치워지는 것은 터무니없는 생각이라고 나는 생각한다. 그것은 표현을 방해한다. 사람들은 무엇이 그들에게 모욕적인지에 대해 다른 의견을 가지고 있고 만약 모든 사람이 똑같이 생각한다면 매우 지루할 것이다. 만약 누군가가 특별히 불쾌한 것을 발견한다면, 나는 그들이 그것을 보지 말아야 한다고 믿는다.",2,2,3,3,3,2,2,3,2,2.44
10,"모든 작가는 청중들을 가르치거나, 즐겁게 하거나, 설득하기 위한 목적을 위해 글을 쓴다. 어떤 작가도 무언가를 쓰지 않고 '아무도 이것을 선반에서 꺼내지 않았으면 좋겠다'라고 말하지 않습니다. 그래서 모든 작가가 그들의 글을 통해 무언가를 표현하기를 원한다면, 우리는 왜 그들의 말을 듣지 못하게 해야 할까요? 우리는 모두 언론의 자유가 있죠, 그렇죠? 그렇다면, 왜 글쓰기의 자유는 아닐까요? 도서관은 책, 음악, 영화 또는 잡지가 불쾌하다고 해서 책꽂이에서 그것을 꺼내서는 안 된다. 누구나 자기가 좋아하지 않는 책을 읽겠지만, 당연한 일이지만, 그렇다고 해서 아무도 좋아하지 않는 것은 아니다. 작가들은 청중들을 위해 글을 쓰지만, 아마도 당신은 그 청중들 속에 있지 않을 것이다; 그래서 그것은 당신에게 매력적이지 않고 심지어 불쾌하게 보일 수도 있다. 모든 사람이 같은 생각을 믿는 것은 아니다. 여러분은 어떤 문제에 대해 한 가지 방식으로 생각할 수 있고 여러분의 이웃은 정말 다른 방식으로 생각할 수 있습니다. 예를 들어, 여러분은 인생에서 많은 문제를 겪고 있는 어린 소녀에 관한 책을 읽고 있습니다. 그녀는 정말 끔찍한 상황에 부닥쳤다. 당신이 읽은 이러한 상황 중 일부는 너무 끔찍해서 다른 사람이 그것을 읽는 것을 원하지 않을 것이다. 하지만 여러분은 어쩌면 이와 같은 상황을 겪거나 겪은 다른 소녀가 있을 수도 있다고 생각해 본 적이 있나요? 아마도 이 소녀는 도서관에 와서 이 책을 찾았을 것입니다. 갑자기 그녀는 책에서 지침을 발견하게 됩니다. 그녀는 인생에서 기댈 수 있는 것을 발견한다. 전에는 갖지 못했던 것을. 그녀는 이 책에 나와 함께 상황을 해결할 수 있는 친구가 있다고 느낀다. 책꽂이에서 책을 꺼내서 그 여자애가 안내서를 찾지 못하게 하고 싶으세요? 상황은 항상 이렇게 일어난다. 사람들은 그들이 읽은 것에서 다른 사람들이 찾지 못할 수도 있는 특별한 것을 발견한다. 사서들이 책꽂이에서 책을 꺼내면 기회는 영원히 사라진다. 아무도 그 글과 그 생각들이 어떻게 될 것인지 알 수 없을 것이다. 우리는 모두 배우고, 새로운 생각을 탐구하며, 우리의 마음을 넓힐 권리가 있다.",3,3,3,3,3,2,3,3,3,2.89
