id,essay,C1,C2,C3,O1,O2,E1,E2,V1,R1,Creativity_score,,,,,,
1,"나는 어릴때부터 꿈이 많았다. 꿈이 많으니까 하고싶은거도 많았다. 어릴 때 건축가 축구선수 요리사등등 많은것들이 하고싶었다. 하지만 현실은 현실일뿐 내가 하고싶은걸 모두다 할수 없다는걸 깨닫기까지 오래 걸리지 않았다. 하지만 그래도 난 여전히 하고싶은건 많았고 앞으로 내가 뭘 할지 정하진 못했다. 하고싶은걸 정하지 못하니까 갈피를 못잡았다. 목표가 없으니까 배가 잘 안가는것처럼 말이다. 그러다 보니 고등학교 1학년 2학년을 허송세월 보내곤 했다. 올해들어 3학년이 되니까 이제 진짜 진로를 정해야지 하며 생각하니까 내가 진짜 뭘 하고싶은지, 즐기면서 하고싶은게 무엇인지 진지하게 생각했다. 난 무슨일을 하더라도 내가 하고싶은거, 즐기면서 할수 있는걸 하고싶었다. 생각하면서 찾아본게 건축가였다. 건축가는 크게 그냥 건축가와 토목건축가로 구분이 되었는데, 난 토목건축가가 뭐하는 직업이지? 하고 찾아보니까 크게 다리나 교량이나 철도 이런것들을 만드는 직업이더라. 난 아주큰 건축물에 매료되었고 결국 토목건축가로 진로를 정하게 되었다. 물론 1학년 2학년때 놀았다보니까 할게 너무 많았다. 일단 내신부터 채워야됬고 내 생기부도 채워야 됬다. 3년에 걸쳐 할게 1년에 걸쳐서 하다보니까 빡빡했다. 수능 공부도 해야됬다 하지만 난 즐겁다. 사람마다 각자의 속도가 있다. 속도는 다르다 보니까 나처럼 고3이 돼서 진로를 정한 경우도 있고 어릴때부터 자신의 꿈을 위해 나아가는 사람도 있고 30대가 넘어서 자신의 진로를 찾는사람도 있다. 또한 원래 이 진로였다가 다른 진로로 바꾸는 경우도 있다 사람마다 상황이 다르고 속도가 다르다. 중요한건 내가 진로를 위해 필요한 무언갈 할 수 있는 실행력 이게 중요한거같다. 실행력이 없다면 하고 싶은게 있어도 할 수 없고 막상 시간을 잘 활용해야할 때 시간을 낭비하게 된다.",3,3,3,2,4,3,3,3,3,3,,,,,,
2,"저는 어렸을때부터 곤충을 좋아하고 사랑했습니다. 그래서 초등학생때는 친구들 사이에서 곤충박사라고 불리기도 하였습니다. 하지만 이 시기에는 이것이 커서 내가 목표하는 직업으로 이어질지 몰랐고, 중학교 때는 심지어 야구에 빠져 곤충에 관한 애정이 식어 진로를 결정하는데 고민도 많았습니다. 중학교 3학년, 고등학교 1학년 때 실시한 진로탐색 교육에서 제가 원래 알고있던 지식들이 떠오르기 시작했고 제가 남들보다 훨씬 더 잘 알고있는 것이 있다고 깨달았고, 그 진로탐색 활동을 계기로 다시 흥미가 생겨 제가 다른사람들보다 전문적인 지식이 있고 흥미가 있는 곤충에 관련된 직업을 가지기로 마음먹었습니다. 곤충관련 직업을 알아보던 중에 곤충사육, 곤충 생태원 운영 등 곤충과 관련된 종합적인 일을 하는 곤충 컨설턴트가 눈에 들어왔고 이 직업과 비슷한 직업을 가진 유튜버의 영상들도 찾아보다 보니 곤충 컨설턴트를 장래희망으로 정하게 되었습나다. 이 곤충 컨설턴트가 되기 위하여 한국농수산대학교 산업곤충학과를 목표로 한만큼 그에 맞는 성적을 위해 열심히 공부를 하기 시작했고 현재 기르고있는 넓적사슴벌레 한 쌍을 시작으로 점점 사육경험도 쌓아가 더 좋은 곤충 컨설턴트가 될 수 있도록 노력하고 있습니다. 그리고 다음 방학에는 곤충 농장에 직접 한달동안 일해보는 시간을 가짐으로써 제 꿈인 곤충 컨설턴트에 한발짝 더 나아갈 수 있도록 하겠습니다.",3,3,3,3,3,3,3,4,3,3.11,,,,,,
3,"저는 어렸을 적에 아버지 일로 인해 헝가리에 거주했었습니다. 저는 헝가리에서 정말 다양한 경험을 했습니다. 우선, 국제학교에 다니면서 다양한 나라의 친구들과 다양한 활동들을 체험해 보았습니다. 제가 다녔던 학교는 #@소속#라는 곳이었습니다. #@소속#는 여러 가지 국제사회와 관련된 캠페인들이 아주 많았습니다. 기억나는 캠페인들만 해도 학부모님들께서 자국의 전통 의상을 입고 강당에 모여 자국의 전통 음식을 소개하는 Traditional Culture Fair이나, 1년마다 각 나라의 신화나 전설을 바탕으로 창의적으로 재구성하여 무대에서 시연하는 Yearly Play와 같은 행사가 있었습니다. 당시에 저희 반은 그리스 로마 신화에 나오는 페르세우스 이야기를 연극했습니다. 저는 헤르메스 역할을 맡았었는데, 페르세우스에게 신들의 무기를 빌려주는 장면에서 비중 있게 나왔습니다. 가장 기억에 남는 캠페인은 World Water Campaign으로, 저희 팀에서 주관한 캠페인입니다. 세계의 다우지, 물 부족 국가, 물이 오염된 국가 등을 조사하여 각각 일어날 수 있는 피해들을 조사하였습니다. 우리가 물로 인해 위기에 처한 사람들을 도와야 하는 이유와 그것의 세부적인 실천 방안을 제시하면서 발표를 마쳤습니다. 발표가 끝난 뒤 1주일 동안 캠페인을 진행하였습니다. 학교 급식실이나 복도에 있는 정수기 옆에 모금함을 설치하고, '당신이 당연하게 마시는 물이 당연하지 않은 사람들이 있습니다.'라는 문구를 써놓았습니다. 1주일이 지난 뒤 약 헝가리 돈 약 4만 포린트, 한화로는 15만원 정도 되는 돈이 모였습니다. 우리 팀은 모은 돈 전액을 아프리카의 물이 부족한 나라들을 위해 기부했습니다. 이 활동을 통해 내가 국제사회에 조금이나마 이바지하고 있다는 생각이 들어서 뿌듯하고 자랑스러웠습니다. 헝가리 역시 다른 나라들과 마찬가지로 한국인 커뮤니티가 있었습니다. 커뮤니티 구성원들의 직업이 아주 다양한데, 특히 친했던 사람들을 살펴보면 대표적으로는 우리 아빠를 비롯해 아빠와 같이 주제원으로 나온 회사 사람들, 기업은행 직원, 자동차 회사 부사장, 그리고 외교관이 있었습니다. 한번은 외교관과 같이 밥을 먹은 적이 있었습니다. 그때 그분이 외교관이라는 직업에 대해 저에게 말해주고, 외교관이 하는 일들에 대해 설명해주셨습니다. 저는 세계를 돌아다니며 영향력을 행사하는 외교관이 너무 멋있어 보였습니다. 그때부터 외교관이라는 직업에 대해 관심을 가지게 되었고, 자연스레 저의 장래희망이 되었습니다. 그렇게 외교관이 되기 위해 한국에 돌아와서 영어공부를 열심히 하고, 책을 많이 읽고, 학교에서 주최하는 관련 대회들에 참여하면서 꿈을 길렀습니다. 외교관이라는 직업 특성상 한 나라의 입장을 대변하고 결국 국가라는 장벽에 묶일 수밖에 없겠다고 생각해서 세계의 거의 모든 나라가 가입된 국제기구인 UN에 들어가서 국경을 초월하여 세계를 바꿔보고 싶다는 결심이 들었습니다. 저는 이제 UN에 들어갈 수 있도록 최선을 다해서 노력할 것이고, 지금 상황에서 그 노력의 방향은 공부일 것입니다. 앞으로 열심히 공부해서 꿈을 이루는 사람이 되도록 하겠습니다.",5,5,4,5,4,5,5,5,5,4.78,,,,,,
4,"나는 고등학교 1학년때까지 팝-싱어송-라이터라는 꿈을 꾸었다. 외국에 나가서 버스킹도 하고 유명해지는 꿈을 꾸었고 나름 열심히 노력 했었다. 하지만 내주변에 음악을 하는 사람들의 생활을 듣고, 매일매일 노력을 해도 내가 이 길을 가는게 맞을까 라는 의문이 들어서 고등학교 2학년에 들어서는 음악을 내려놓게 되었다. 그리고 앞으로 내가 뭘해야될까 생각을 했는데 나는 항상 외국에 대한 로망도 있었고 외국 영화, 팝 음악, 문화등을 좋아한다는걸 깨달았다. 그래서 나는 영어와 관련되고 삶속에서 영어를 많이 쓸수있고, 영어를 더 배울수있는 영어 영문학과, 영어 교육과 등의 진로로 가기를 결정했다. 원래 외국에 나가서 경험을 많이 하기위해 영어관련 프로그램들을 신청해서 영어 실력을 쌓고, 영어 회화, 영어 소설등을 많이 공부 했었다. 중학교 3학년때는 여름,겨울방학 모두 학교에서 주최하는 영어 프로그램을 신청해서 원어민 선생님들과 수업을 했었다. 원어민 선생님은 수업을 딱딱하게 하지 않았고 놀이처럼 진행을 하고 자신의 의견등을 많이 표하는 활동을 많이했었다. 나는 그 기간동안 선생님이랑 많이 소통하고싶어서 집에돌아가면 내일 선생님께 하고 싶은 말을 영어로 준비해서 가서나, 영어 표현을 몇개정도 외워서 다음날 선생님들께 말하였다. 계속 영어로 말하다 보니 어느정도 내가 생각하는것을 표현할수 있게 되었고 영어, 영문화 등에 더 빠져들게 되었다. 그리고 최근 여름방학때 영어 프리젠테이션 프로그램을 신청해서 일주일동안 수업을 들었다. 경성대 교수님이 진행 하셨는데 처음엔 한국어를 쓰면 안되고 오로지 영어만 써야되서 힘들고, 무엇 보다도 내 생각을 정확하게 표할수가 없으니 불편했다. 더군다나 비대면 수업이라서 친구들을 만날수 없으니 안좋았다. 수업에서는 debating 하는 방법, presentation 준비하고 발표, 영상을 보여주고 가장 인상깊었던 내용 말하기, 그리고 조원들과 팀을 이루어 다른 팀과 토론하기 등을 했었다. 수업을 하면서 가장 좋았던 활동은 팀원들과 토론을 준비하고 다른 팀과 의견을 주고 받는 활동이였다. 왜냐하면 이 활동을 마지막 날에 했는데 내가 일주일동안 영어로만 표현을 해서 그런가 친구들이 말하는것의 80%이상을 알아 들었고 원래 내가 한국어로도 반론을 잘 안하는데, 수업을 들어오면서 자신감이 생겼는지 상대팀에게 내 생각들을 펼치게 되었다. 이 수업은 친구들과는 만나지 못했지만 내 인생에서 가장인상깊었던 활동중 하나가 될 정도로 좋았다. 이 활동 이후로 내가 외국어에 대한 갈망이 확실한것을 깨닫고 매일매일 영문법, 영단어 그리고 외국 영상들을 보며 들리는 대로 써보고 좋은 표현들 익히기등 전에는 열심히 하지 않은 영어 공부를 열심히 하게 되었다. 지금 현재 성적이 좋지 않더라도 이제는 나에게 진짜로 갈망하는 꿈이 생겼기 때문에 성적을 올릴 자신감이 있다.그리고 꿈을 위해 더 노력할것이다.",4,5,4,4,4,5,4,4,4,4.22,,,,,,
5,"나의 진로탐색과정은 다른 사람들과 비슷하게 또는 다르게 진로가 계속 바뀌었다고 생각하고 있다. 건축가, 소방관, 신문기자, 사진작가 등의 생각은 초, 중 때였고, 국어국문학과, 심리학과, 사회복지학과 등의 생각은 고등학생인 현재의 진로이다. 어릴 때는 직업을 찾고, 점점 자라면서는 그 직업과 관련된 학과를 찾게 되는 과정이 나의 진로탐색과정이라고 생각하고 있다. 물론 당연한 말일 수 있다. 일단 시작은 소방관, 경찰관이었던 것 같다. 어릴 때는 멋있는 직업이 나의 기준이었다고 생각한다. 그 다음 중학교 들어와서는 건축가, 엔지니어였다. 당시의 나는 만드는 것에 흥미를 느껴서 여러 가지 실험이라든가 키트 같은 것을 경험해보았던 기억이 있다. 고1때는 보드게임을 좋아하게 되어 보드게임 기획자를 생각하게 되었다. 보드게임을 종이상자로도 만들어보고, 구매도 하였다. 이 고1때를 계기로 처음엔 심리학과를 생각하게 되었다. 사람들이 좋아할만 한 보드게임을 만들기 위해서는 사람들의 심리를 알 필요가 있다고 생각하였기 때문이다. 그렇게 심리학과를 목표로 책도 읽어보고, 공부도 딸리긴 했지만 노력하였다. 그렇게 고등학교 생활을 보내던 중에 한 선생님이 ""심리학과를 부과로 선택하고, 다른 학과를 본과로 하는 게 괜찮을 거 같다.""라고 조언을 해주어서 나는 '콘텐츠'를 중심으로 국어국문학과, 게임 콘텐츠학과를 생각하게 되었다. 그래서 현재는 국어군문학과를 목표로 두고 있다. 상향이긴 하지만 차이는 얼마 안 되서 희망을 갖고, 달려가고 있다. 처음에는 직업을 선택하고, 성장하면서 그 직업에 무엇이 필요한지에 대해 생각하여 학과를 정하고, 목표로 달려간다. 당연할 수 있지만 이게 나의 진로탐색과정이자 경험이다. 결론적으로는 현재는 국어국문학과가 목표이다.",3,3,4,3,4,3,3,4,3,3.33,,,,,,
6,"나는 진로에 대해서 19년동안 생각을 하지 않았다.늘 노는게 우선이었고 고등학교에 가면, 대학교만 들어간다면 다 되겠지 그 정도면 양호한거지라고 생각하면서 보냈었다. 이렇게 생각하며 살아가는게 내 미래에 분명 문제가 있을거라는걸 알았지만 하고 싶은 것도 없고 잘하는거도 없었기에 공부도 안하고 놀고만 있었다. 그러나 고등학교 3학년 여름방학이 다가와 질 때 쯔음에 대학에 대해 상담을 받고 원서를 넣어야하는 시기가 다가오자 나는 점점 불안해져가며 대학을 알아보게 되고 내가 하고 싶은 것을 찾아다니고 있었다. 제과제빵 직업군인 호텔경영 등을 알아보는 와중에도 이게 진짜 맞는걸까 이걸로 커서 밥벌이가 될까 내가 원하는게 맞나라는 생각이 들었다. 그래서 난 내가 원하는 쪽으로 가고 싶었기에 어릴 때부터 지금까지 좋아하던 게임 관련 직업을 알아보게 되었다. 거기엔 기획 그림 3d 배경 등 많았지만 학원가서 상담해본 결과 나는 게임기획 쪽에 알맞은 성향이었다. 하지만 이것도 너무 섣불리 생각한 것은 아닌가라는 생각이 들며 누나와도 이야기를 해봤다. 그 결과 천천히 생각하자라는 결론이 나왔고 선생님과의 상담 대학입시포털로 내 성적에 맞는 대학교를 알아보며 결국엔 하고싶은 학과를 정하지 못하고 취업이 잘 되는 보건쪽이나 기계, 전기전자 쪽으로 관심을 가지게 되었으며 대학 원서에 쓰게 되었다. 결국 자기자신이 하고 싶은 걸 하면서 사는 것은 엄청 힘들어 보인다. 나는 이러한 진로관련 생각들을 할 때마다 내가 진짜 하고싶은 거를 배우며 꿈을 향해 달리는 사람들을 보면 존경심이 생기며 보고 배워야 겠다는 생각이 종종 든다. 미래로 가서 내가 무엇을 하면서 살고 있을지 궁금하다.",4,3,3,4,3,3,3,4,3,3.33,,,,,,
7,"중학생 때의 나는 꿈이 없었다. 그냥 살다 보면 하고 싶은게 생길 줄 알았고 그럼 그때가서 노력하면 되는 줄 알았다. 그렇게 아무 생각 없이 해맑게 살아왔는데, 고등학생이 되어서 중학교와는 사뭇 다른 분위기를 느끼자, 이대로 멍하니 현실에 안주하는 삶을 살아서는 안 되겠다는 생각이 들었다. 성인이 되기까지 3년도 안 남았는데 커서 뭐 먹고 살지, 이런 현실적인 생각과 걱정들이 떠오르면서 나는 나의 진로에 대해 진지하게 고민하기 시작했다. 그렇게 나는, 꿈을 찾기 위해 제일 먼저 무작정 책을 읽었다. 다양한 분야의 책을 읽고, 그중에서 특히 재밌거나, 술술 읽히는 책에 관해서 더 깊이 알아보았다. 수학과 관련하여 과거 수학자들의 삶을 풀어주는 책도 재미있었고, 운동 관련하여 스포츠 선수의 일대를 담은 책도 흥미로웠다. 그렇게 다양한 책을 읽고 있었는데, 아무 생각 없이 평소처럼 책을 읽다가, 이때까지의 책 중 가장 흥미롭게 읽었던 책, '모두 깜언' 이라는 책을 읽었다. 간단히 이 책은 여러 사람이 농촌에서 생활하는 모습을 나타낸 책인데, 이 책을 읽고 나는 농촌 생활에 푹 빠지게 되었다. 이 책과 더불어, 농촌에서 생활하는 tv프로그램인 삼시세끼를 보면서, 나는 드디어 하고 싶은 것을 찾은 것 같았다. '농업 관련 일을 해보자!' 책 한 권과 tv프로그램으로 인해 관심을 가지고, 관련 직업을 찾아보면서 나는 농업 연구사라는 조금은 당황스럽기도 한 꿈을 가지게 되었다. 이 소리를 처음 들은 대부분의 사람들은 많이 놀랐다. 가끔은 비웃음을 사기도 했다. 이들이 틀렸음을 증명하기 위해, 나는 내 진로로 나아가기 위해 우선, 공부를 열심히 했다. 성적을 잘 받아야 좋은 대학에 가서 더 좋은 수업을 들을 수 있기 때문이다. 그리고, 농업 관련 기사를 평소에 찾아보고 또, 관련 분야인 생명과학, 화학 관련 책을 열심히 읽어 그쪽 분야의 지식을 넓히려고 노력하고 있다. 비록 이 길이 맞는 길인지는 모르겠지만 그래도 내가 선택한 길이니까 한 걸음 한 걸음 최선을 다해 걸어가야겠다.",4,4,3,4,4,4,4,4,4,3.89,,,,,,
8,저는 어려서부터 음악을 좋아했었습니다. 때문에 어릴때부터 피아노를 배우기도 했었고 학교를 다닐때에도 음악시간이 제일 좋았었습니다. 마침 초등학생때에 음악선생님이 너무나도 친절하시고 좋은 분이셨습니다. 덕분에 저는 점심시간마다 음악실에서 악기들을 다루어보고 때로는 선생님께서 가르쳐 주시기도 했습니다. 덕분에 리코더나 피아노를 다루면서 음악적 감각을 키울수 있었습니다. 그러던 와중에 어쿠스틱 기타를 연주하는 모습이 멋있어보였고 저도한번 배워보고 싶었습니다. 그때부터 기타학원에 다니며 기타를 좀더 전문적으로 배울수 있었습니다. 그렇게 중학교에 진학하게 되었고 중학교 때는 밴드부에 가입하고 싶었습니다. 그래서 일렉기타를 밴드부 선배님께 배워보고 선배님은 제가 재능이 있다고 하셨습니다. 아마 기타를 미리 배웠던게 도움이 됐던 것 같습니다. 그렇게 일렉기타를 1년간 배우고 어느정도 연주를 할수있게 되자 저는 정식적으로 중2 학년때부터 밴드활동을 하게 되었습니다. 이때가 아마도 제 인생에 큰 변환점 이였던 것 같습니다. 밴드활동은 정말 재밌었고 제게 큰 인상을 심어주었습니다. 실제로 공연하는 모습은 제가 가장 신나고 행복했던 시간이였습니다. 현재까지도 음악을 지속적으로 배우면서 갈고 닦고있는데 아마 성인이 되어서도 음악을 계속 할 것 같기에 저는 미래에 밴드부를 결성해서 음악활동을 지속할 것 같습니다. 그게 바로 제 진로입니다.,3,3,3,2,3,2,3,3,3,2.78,,,,,,
9,종점이 어딘지 모르고 기차를 탔습니다. 어떨 땐 멈추기도하고 또 어떤 날엔 왔던 길을 다시 돌아가기도 하며 막다른 길로 가는 기차에 올라탄 저는 내내 마음이 편치 못했습니다. 저의 이때까지의 삶은 이러한 기차와도 같았습니다. 살아오면서 수많은 사람들을 만나고 또 이별하였습니다. 그러면서 더욱 성장한 저를 발견하기도 했습니다. 저는 편지를 쓰고 전하는 것을 좋아했습니다. 오직 그 사람을 위해 집중하고 제 마음을 전달받은 사람들에게서 피어오르는 꽃 같은 미소들을 사랑했기에 저는 글을 쓰는 이가 되고싶다고 다짐했습니다. 어디에도 쉬운 일은 없듯이 많이 다치고 넘어져 좌절하기도 했고 포기한 적도 있었지만 저는 다시 돌고 돌아 제자리로 돌아왔습니다. 글이 저를 버리지 않았기에 저 역시 글을 버릴 수 없었습니다. 최근 또 다른 막다른 길을 마주친 적이 있습니다. 원하는 일을 하고싶다면 하고싶지 않은 일도 해내야 한다는 말이 떠올랐고 저는 다시 선택의 기로에 놓여졌습니다. 하지만 전처럼 포기하고 싶지는 않았기에 차근차근 풀어나가려고 합니다. 인생은 길고 저는 아직 젊기에 조급해하지않고 차근차근 제 얖에 있는 이 길들을 걸어가 보려고 합니다. 그 앞이 가시밭길이라 할지라도 내 손을 잡고 함께 걸어준 사람이 있기에.. 또 사랑할 수 밖에 없는 제 꿈이 있기에 두렵고 험난한 이 길도 함께 헤쳐나가보려 합니다. 기차는 어디로 갈지 모르겠지만 언젠가는 종점에 도착할 것이고 돌아가더라도 앞으로 나아가려 합니다. 두 마리 토끼를 잡으려 하면 둘 다 놓친다는 말이 있듯이 공부도 꿈도 차근차근 조급해하지 않고 해나갈 것입니다. 언젠가 도착하 종점에서 저는 웃으며 지금을 기억할 수 있기를 간절히 소망해봅니다. 인생은 두렵기에 더욱 아름다운 것이겠죠.,4,4,3,4,4,5,4,4,4,4,,,,,,
10,"저는 어렸을적부터 꿈이란 게 별로 없었습니다. 하고싶은거나 잘하는게 워낙 없었기에 고등학교 입학하는 과정부터 난항을 겪었습니다. 문과와 이과의 차이점도 모르고 구분짓는것도 잘몰랐었습니다. 그래서 진로를 탐색하는것도 힘들었으며 마땅히 하고싶다고 느껴진것도 없었습니다. 그래서 저는 가장 가까운곳에서 답을 찾았습니다. 제 롤모델이신 아버지를 따라서 반도체를 주로 다루는 직업을 찾아보기로 하였습니다. 고등학교 역시 공업고에 전자과로 진학을 결정했고 아버지 직장에서 보던것들을 배우다보니 익숙하기도 하고 그만큼 잘하기도 하였습니다. 그렇게 어느정도 자신감도 얻어가고 지금껏 배운기술과 지식들로 자잘한 아버지 일도 도와드리는등 배웠던 것들은 활용하는 방법으로 진로에 도움이 될만한 기술들을 숙달하는등 잦은 시도와 노력을 했습니다. 실습간에 잘 따라오지 못하는 친구에게 알려줄수 있다는게 오히려 뿌듯하기도 했고 이러한 진로를 선택할수 있어서 정말 잘했단 생각이 들었습니다. 아직 대학에 진학할지, 바로 취업할 자리를 찾을지 고르진 못했지만, 좀 더 많은 것들을 배우고 또 해보고 싶기에 쓸모가 많은 사람이 되도록 열심히 더욱 노력해야 겠습니다. 여기까지가 지금까지의 진로탐색 과 진로로 나아나기 위한 노력 이였습니다.",3,3,3,3,3,3,3,3,3,3,,,,,,
